,game,team,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,year_month,home,away,fl_home
5929,SAC @ WAS 2015-12-21,WAS,240.0,42.0,83.0,0.506,14.0,24.0,0.583,15.0,17.0,0.882,4.0,34.0,38.0,31.0,9.0,5.0,11.0,19.0,113.0,,0.624,0.59,0.289,0.205,10.8,72.3,45.2,73.8,9.2,7.2,10.8,100.0,116.0,101.6,201512,WAS,SAC,1
5930,SAC @ WAS 2016-11-28,SAC,265.0,38.0,93.0,0.409,3.0,21.0,0.14300000000000002,16.0,26.0,0.615,13.0,31.0,44.0,20.0,15.0,4.0,20.0,24.0,95.0,,0.455,0.425,0.226,0.28,25.5,73.8,47.3,52.6,14.1,6.7,16.1,100.0,89.3,94.9,201611,WAS,SAC,0
5931,SAC @ WAS 2016-11-28,WAS,265.0,35.0,85.0,0.412,10.0,25.0,0.4,21.0,26.0,0.8079999999999999,11.0,38.0,49.0,22.0,11.0,7.0,23.0,23.0,101.0,,0.524,0.471,0.294,0.306,26.2,74.5,52.7,62.9,10.3,9.7,19.3,100.0,94.9,89.3,201611,WAS,SAC,1
5932,SAC @ WAS 2017-11-13,SAC,240.0,34.0,84.0,0.405,12.0,23.0,0.522,12.0,18.0,0.667,10.0,25.0,35.0,19.0,8.0,4.0,10.0,15.0,92.0,,0.5,0.476,0.274,0.214,20.0,71.4,41.2,55.9,8.9,7.7,9.8,100.0,102.5,122.6,201711,WAS,SAC,0
5933,SAC @ WAS 2017-11-13,WAS,240.0,44.0,86.0,0.512,11.0,34.0,0.324,11.0,12.0,0.917,10.0,40.0,50.0,30.0,7.0,1.0,11.0,21.0,110.0,,0.603,0.5760000000000001,0.395,0.14,28.6,80.0,58.8,68.2,7.8,1.6,10.8,100.0,122.6,102.5,201711,WAS,SAC,1
5934,SAS @ ATL 2015-12-12,ATL,240.0,30.0,80.0,0.375,5.0,24.0,0.208,13.0,16.0,0.813,7.0,26.0,33.0,21.0,15.0,3.0,17.0,15.0,78.0,,0.448,0.406,0.3,0.2,14.0,81.3,40.2,70.0,15.5,5.6,16.3,100.0,80.4,106.1,201512,ATL,SAS,1
5935,SAS @ ATL 2015-12-12,SAS,240.0,36.0,74.0,0.486,10.0,20.0,0.5,21.0,22.0,0.955,6.0,43.0,49.0,26.0,11.0,2.0,23.0,16.0,103.0,,0.615,0.5539999999999999,0.27,0.297,18.8,86.0,59.8,72.2,11.3,3.6,21.6,100.0,106.1,80.4,201512,ATL,SAS,0
5936,SAS @ ATL 2017-01-01,ATL,265.0,42.0,92.0,0.457,14.0,28.0,0.5,16.0,27.0,0.593,11.0,35.0,46.0,25.0,6.0,6.0,11.0,21.0,114.0,,0.5489999999999999,0.5329999999999999,0.304,0.293,22.4,79.5,49.5,59.5,5.9,9.5,9.6,100.0,112.8,110.8,201701,ATL,SAS,1
5937,SAS @ ATL 2017-01-01,SAS,265.0,42.0,90.0,0.467,9.0,27.0,0.333,19.0,22.0,0.8640000000000001,9.0,38.0,47.0,27.0,5.0,6.0,12.0,21.0,112.0,,0.562,0.517,0.3,0.244,20.5,77.6,50.5,64.3,4.9,9.4,10.7,100.0,110.8,112.8,201701,ATL,SAS,0
5938,SAS @ ATL 2018-01-15,ATL,240.0,40.0,86.0,0.465,9.0,25.0,0.36,13.0,14.0,0.929,11.0,39.0,50.0,23.0,8.0,2.0,15.0,23.0,102.0,,0.5529999999999999,0.517,0.29100000000000004,0.163,27.5,83.0,57.5,57.5,8.5,3.1,14.0,100.0,108.5,105.3,201801,ATL,SAS,1
5939,SAS @ ATL 2018-01-15,SAS,240.0,37.0,87.0,0.425,8.0,22.0,0.364,17.0,20.0,0.85,8.0,29.0,37.0,24.0,12.0,5.0,9.0,13.0,99.0,,0.517,0.471,0.253,0.23,17.0,72.5,42.5,64.9,12.8,8.2,8.6,100.0,105.3,108.5,201801,ATL,SAS,0
5940,SAS @ BKN 2016-01-11,BKN,240.0,33.0,73.0,0.452,2.0,12.0,0.16699999999999998,11.0,13.0,0.846,5.0,25.0,30.0,15.0,5.0,3.0,15.0,18.0,79.0,,0.502,0.466,0.16399999999999998,0.17800000000000002,14.3,71.4,42.9,45.5,5.6,4.3,16.0,100.0,89.2,119.7,201601,BKN,SAS,1
